Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2008-12-21,,-1.0,-4.0,0.0,0.0,4.0
2008-12-28,,35.0,19.0,0.0,0.0,0.0
2009-01-04,,25.0,8.0,0.0,0.0,0.0
2009-01-11,,29.0,14.0,0.02,0.2,6.0
2009-01-18,,34.0,23.0,0.0,0.1,6.0
2009-01-25,,13.0,6.0,0.15,3.4,7.0
2009-02-01,,40.0,29.0,0.0,0.0,4.0
2009-02-08,,42.0,26.0,0.0,0.0,0.0
2009-02-15,,29.0,15.0,0.0,0.0,5.0
2009-02-22,,29.0,10.0,0.0,0.0,0.0
2009-03-01,,27.0,8.0,0.0,0.0,0.0
2009-03-08,,40.0,35.0,0.95,0.0,0.0
2009-03-15,,62.0,33.0,0.0,0.0,0.0
2009-03-22,,70.0,48.0,0.03,0.0,0.0
2009-03-29,,50.0,26.0,0.0,0.0,0.0
2009-04-05,,44.0,33.0,0.36,1.3,0.0
2009-04-12,,55.0,41.0,0.0,0.0,0.0
2009-04-19,,59.0,44.0,0.0,0.0,0.0
2009-04-26,,76.0,49.0,2.68,0.0,0.0
2009-05-03,,72.0,48.0,0.0,0.0,0.0
2009-05-10,,66.0,47.0,0.0,0.0,0.0
2009-05-17,,56.0,41.0,0.0,0.0,0.0
2009-05-24,,81.0,63.0,0.0,0.0,0.0
2009-05-31,,82.0,51.0,0.06,0.0,0.0
2009-06-07,,81.0,66.0,0.12,0.0,0.0
2009-06-14,,76.0,56.0,0.0,0.0,0.0
2009-06-21,,90.0,72.0,0.1,0.0,0.0
2009-06-28,,85.0,61.0,0.0,0.0,0.0
2009-07-05,,84.0,59.0,0.0,0.0,0.0
2009-07-12,,79.0,67.0,0.02,0.0,0.0
2009-07-19,,77.0,58.0,0.0,0.0,0.0
2009-07-26,,84.0,61.0,0.0,0.0,0.0
2009-08-02,,89.0,56.0,0.0,0.0,0.0
2009-08-09,,86.0,67.0,0.78,0.0,0.0
2009-08-16,,84.0,69.0,0.18,0.0,0.0
2009-08-23,,79.0,55.0,0.0,0.0,0.0
2009-08-30,,65.0,49.0,0.0,0.0,0.0
2009-09-06,,80.0,58.0,0.0,0.0,0.0
